航班号,sequenceNo,marketAirlineCode,航空公司,marketAlliance,出发国家,departureCountryCode,departureProvinceId,departureCityId,departureCityCode,出发城市,出发机场三字码,出发机场,departureAirportShortName,departureTerminal,到达国家,arrivalCountryCode,arrivalProvinceId,arrivalCityId,arrivalCityCode,到达城市,到达机场三字码,到达机场,arrivalAirportShortName,arrivalTerminal,飞行时长,transferDuration,飞机型号三字码,飞机型号,飞机尺寸,departureDateTime,arrivalDateTime,leakedVisaTagSwitch,highLightPlaneNo,停留次数,istTransitService,mainSegment,出发日期,出发时间,到达日期,到达时间,economy_origin,economy_tax,economy_total,economy_full,bussiness_origin,bussiness_tax,bussiness_total,bussiness_full,数据获取日期
HX236,1,HX,香港航空,,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,155,0,320,空客320(中),M,2024-04-01 08:05:00,2024-04-01 10:40:00,False,False,0,False,True,2024-04-01,08:05:00,2024-04-01,10:40:00,721,397,1118,1634,,,,,2024-03-04
FM810,1,FM,上海航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,SHA,虹桥国际机场,虹桥,T1,145,0,73E,波音738(中),M,2024-04-01 18:50:00,2024-04-01 21:15:00,False,False,0,False,True,2024-04-01,18:50:00,2024-04-01,21:15:00,830,340,1170,1652,,,,,2024-03-04
HO1292,1,HO,吉祥航空,星空联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,160,0,32N,空客320(中),M,2024-04-01 20:40:00,2024-04-01 23:20:00,False,False,0,False,True,2024-04-01,20:40:00,2024-04-01,23:20:00,530,397,927,1459,,,,,2024-03-04
CX360,1,CX,国泰航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,170,0,333,空客330(大),L,2024-04-01 13:40:00,2024-04-01 16:30:00,False,False,0,False,True,2024-04-01,13:40:00,2024-04-01,16:30:00,2297,397,2694,3260,,,,,2024-03-04
MU504,1,MU,东方航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,185,0,325,空客321(中),M,2024-04-01 15:55:00,2024-04-01 19:00:00,False,False,0,False,True,2024-04-01,15:55:00,2024-04-01,19:00:00,750,340,1090,1706,,,,,2024-03-04
MU506,1,MU,东方航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,160,0,323,空客320(中),M,2024-04-01 20:05:00,2024-04-01 22:45:00,False,False,0,False,True,2024-04-01,20:05:00,2024-04-01,22:45:00,750,340,1090,1622,,,,,2024-03-04
HX234,1,HX,香港航空,,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,170,0,320,空客320(中),M,2024-04-01 21:00:00,2024-04-01 23:50:00,False,False,0,False,True,2024-04-01,21:00:00,2024-04-01,23:50:00,615,397,1012,1578,,,,,2024-03-04
CX362,1,CX,国泰航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,165,0,333,空客330(大),L,2024-04-01 19:20:00,2024-04-01 22:05:00,False,False,0,False,True,2024-04-01,19:20:00,2024-04-01,22:05:00,1762,397,2159,2708,,,,,2024-03-04
CX376,1,CX,国泰航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,175,0,333,空客330(大),L,2024-04-01 10:20:00,2024-04-01 13:15:00,False,False,0,False,True,2024-04-01,10:20:00,2024-04-01,13:15:00,1762,397,2159,2741,,,,,2024-03-04
MU510,1,MU,东方航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,185,0,32L,空客321(中),M,2024-04-01 17:05:00,2024-04-01 20:10:00,False,False,0,False,True,2024-04-01,17:05:00,2024-04-01,20:10:00,750,340,1090,1706,,,,,2024-03-04
CX342,1,CX,国泰航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,SHA,虹桥国际机场,虹桥,T1,150,0,333,空客330(大),L,2024-04-01 09:35:00,2024-04-01 12:05:00,False,False,0,False,True,2024-04-01,09:35:00,2024-04-01,12:05:00,1762,397,2159,2658,,,,,2024-03-04
CX364,1,CX,国泰航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,170,0,333,空客330(大),L,2024-04-01 17:25:00,2024-04-01 20:15:00,False,False,0,False,True,2024-04-01,17:25:00,2024-04-01,20:15:00,1762,397,2159,2725,,,,,2024-03-04
MU508,1,MU,东方航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,160,0,320,空客320(中),M,2024-04-01 15:05:00,2024-04-01 17:45:00,False,False,0,False,True,2024-04-01,15:05:00,2024-04-01,17:45:00,750,340,1090,1622,,,,,2024-03-04
CX316,1,CX,国泰航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,165,0,333,空客330(大),L,2024-04-01 08:20:00,2024-04-01 11:05:00,False,False,0,False,True,2024-04-01,08:20:00,2024-04-01,11:05:00,1762,397,2159,2708,,,,,2024-03-04
MU702,1,MU,东方航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,170,0,325,空客321(中),M,2024-04-01 13:55:00,2024-04-01 16:45:00,False,False,0,False,True,2024-04-01,13:55:00,2024-04-01,16:45:00,769,339,1108,1674,,,,,2024-03-04
