航班号,sequenceNo,marketAirlineCode,航空公司,marketAlliance,出发国家,departureCountryCode,departureProvinceId,departureCityId,departureCityCode,出发城市,出发机场三字码,出发机场,departureAirportShortName,departureTerminal,到达国家,arrivalCountryCode,arrivalProvinceId,arrivalCityId,arrivalCityCode,到达城市,到达机场三字码,到达机场,arrivalAirportShortName,arrivalTerminal,飞行时长,transferDuration,飞机型号三字码,飞机型号,飞机尺寸,departureDateTime,arrivalDateTime,leakedVisaTagSwitch,highLightPlaneNo,停留次数,istTransitService,mainSegment,出发日期,出发时间,到达日期,到达时间,operateAirlineCode,operateAirlineName,operateAlliance,operateFlightNo,economy_origin,economy_tax,economy_total,economy_full,bussiness_origin,bussiness_tax,bussiness_total,bussiness_full,数据获取日期
FM896,1,FM,上海航空,天合联盟,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,225,0,73E,波音738(中),M,2024-04-01 17:10:00,2024-04-01 19:55:00,False,False,0,False,True,2024-04-01,17:10:00,2024-04-01,19:55:00,,,,,1206,763,1969,2718,,,,,2024-03-14
FM816,1,FM,上海航空,天合联盟,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,中国,CN,2,2,SHA,上海,SHA,虹桥国际机场,虹桥,T1,185,0,789,波音787(大),L,2024-04-01 13:30:00,2024-04-01 15:35:00,False,False,0,False,True,2024-04-01,13:30:00,2024-04-01,15:35:00,,,,,1206,763,1969,2585,,,,,2024-03-14
HO3130,1,HO,吉祥航空,星空联盟,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,200,0,789,波音787(大),L,2024-04-01 09:20:00,2024-04-01 11:40:00,False,False,0,False,True,2024-04-01,09:20:00,2024-04-01,11:40:00,NH,全日空航空,星空联盟,NH919,3368,761,4129,4795,,,,,2024-03-14
NH919,1,NH,全日空航空,星空联盟,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,200,0,789,波音787(大),L,2024-04-01 09:20:00,2024-04-01 11:40:00,False,False,0,False,True,2024-04-01,09:20:00,2024-04-01,11:40:00,,,,,11880,761,12641,13307,,,,,2024-03-14
NH967,1,NH,全日空航空,星空联盟,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,185,0,788,波音787(大),L,2024-04-01 22:30:00,2024-04-02 00:35:00,False,False,0,False,True,2024-04-01,22:30:00,2024-04-02,00:35:00,,,,,11880,758,12638,13254,,,,,2024-03-14
JL085,1,JL,日本航空,寰宇一家,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,200,0,767,波音767(大),L,2024-04-01 11:40:00,2024-04-01 14:00:00,False,False,0,False,True,2024-04-01,11:40:00,2024-04-01,14:00:00,,,,,13535,728,14263,14929,,,,,2024-03-14
HO3136,1,HO,吉祥航空,星空联盟,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,185,0,788,波音787(大),L,2024-04-01 22:30:00,2024-04-02 00:35:00,False,False,0,False,True,2024-04-01,22:30:00,2024-04-02,00:35:00,NH,全日空航空,星空联盟,NH967,4131,763,4894,5510,,,,,2024-03-14
NH969,1,NH,全日空航空,星空联盟,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T2,中国,CN,2,2,SHA,上海,SHA,虹桥国际机场,虹桥,T1,190,0,781,波音787(大),L,2024-04-01 10:05:00,2024-04-01 12:15:00,False,False,0,False,True,2024-04-01,10:05:00,2024-04-01,12:15:00,,,,,12394,758,13152,13784,,,,,2024-03-14
CA924,1,CA,中国国航,星空联盟,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,195,0,321,空客321(中),M,2024-04-01 13:35:00,2024-04-01 15:50:00,False,False,0,False,True,2024-04-01,13:35:00,2024-04-01,15:50:00,,,,,3545,754,4299,4948,,,,,2024-03-14
MU272,1,MU,东方航空,天合联盟,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,225,0,325,空客321(中),M,2024-04-01 10:55:00,2024-04-01 13:40:00,False,False,0,False,True,2024-04-01,10:55:00,2024-04-01,13:40:00,,,,,1206,761,1967,2716,,,,,2024-03-14
MU728,1,MU,东方航空,天合联盟,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,220,0,325,空客321(中),M,2024-04-01 13:00:00,2024-04-01 15:40:00,False,False,0,False,True,2024-04-01,13:00:00,2024-04-01,15:40:00,,,,,1206,761,1967,2699,,,,,2024-03-14
MU538,1,MU,东方航空,天合联盟,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,中国,CN,2,2,SHA,上海,SHA,虹桥国际机场,虹桥,T1,220,0,33L,空客330(大),L,2024-04-01 14:30:00,2024-04-01 17:10:00,False,False,0,False,True,2024-04-01,14:30:00,2024-04-01,17:10:00,,,,,1206,763,1969,2701,,,,,2024-03-14
MU522,1,MU,东方航空,天合联盟,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,200,0,33E,空客330(大),L,2024-04-01 16:55:00,2024-04-01 19:15:00,False,False,0,False,True,2024-04-01,16:55:00,2024-04-01,19:15:00,,,,,1206,761,1967,2633,,,,,2024-03-14
NH971,1,NH,全日空航空,星空联盟,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,185,0,320,空客320(中),M,2024-04-01 18:35:00,2024-04-01 20:40:00,False,False,0,False,True,2024-04-01,18:35:00,2024-04-01,20:40:00,,,,,11880,758,12638,13254,,,,,2024-03-14
HO1380,1,HO,吉祥航空,星空联盟,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,185,0,789,波音787(大),L,2024-04-01 13:25:00,2024-04-01 15:30:00,False,False,0,False,True,2024-04-01,13:25:00,2024-04-01,15:30:00,,,,,1130,761,1891,2507,,,,,2024-03-14
