航班号,sequenceNo,marketAirlineCode,航空公司,marketAlliance,出发国家,departureCountryCode,departureProvinceId,departureCityId,departureCityCode,出发城市,出发机场三字码,出发机场,departureAirportShortName,departureTerminal,到达国家,arrivalCountryCode,arrivalProvinceId,arrivalCityId,arrivalCityCode,到达城市,到达机场三字码,到达机场,arrivalAirportShortName,arrivalTerminal,飞行时长,transferDuration,飞机型号三字码,飞机型号,飞机尺寸,departureDateTime,arrivalDateTime,leakedVisaTagSwitch,highLightPlaneNo,停留次数,istTransitService,mainSegment,出发日期,出发时间,到达日期,到达时间,operateAirlineCode,operateAirlineName,operateAlliance,operateFlightNo,isLowCostCarrier,economy_origin,economy_tax,economy_total,economy_full,bussiness_origin,bussiness_tax,bussiness_total,bussiness_full,数据获取日期
FM896,1,FM,上海航空,天合联盟,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,225,0,73E,波音738(中),M,2024-04-01 17:10:00,2024-04-01 19:55:00,False,False,0,False,True,2024-04-01,17:10:00,2024-04-01,19:55:00,,,,,,1216,766,1982,2731,,,,,2024-03-12
FM816,1,FM,上海航空,天合联盟,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,中国,CN,2,2,SHA,上海,SHA,虹桥国际机场,虹桥,T1,185,0,789,波音787(大),L,2024-04-01 13:30:00,2024-04-01 15:35:00,False,False,0,False,True,2024-04-01,13:30:00,2024-04-01,15:35:00,,,,,,1216,766,1982,2598,,,,,2024-03-12
HO3130,1,HO,吉祥航空,星空联盟,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,200,0,789,波音787(大),L,2024-04-01 09:20:00,2024-04-01 11:40:00,False,False,0,False,True,2024-04-01,09:20:00,2024-04-01,11:40:00,NH,全日空航空,星空联盟,NH919,,3389,764,4153,4819,,,,,2024-03-12
NH919,1,NH,全日空航空,星空联盟,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,200,0,789,波音787(大),L,2024-04-01 09:20:00,2024-04-01 11:40:00,False,False,0,False,True,2024-04-01,09:20:00,2024-04-01,11:40:00,,,,,,11829,756,12585,13251,,,,,2024-03-12
GK035,1,GK,捷星日本,,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T3,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,,235,0,320,空客320(中),M,2024-04-01 22:25:00,2024-04-02 01:20:00,False,False,0,False,True,2024-04-01,22:25:00,2024-04-02,01:20:00,,,,,True,1165,10,1175,1957,,,,,2024-03-12
NH967,1,NH,全日空航空,星空联盟,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,185,0,788,波音787(大),L,2024-04-01 22:30:00,2024-04-02 00:35:00,False,False,0,False,True,2024-04-01,22:30:00,2024-04-02,00:35:00,,,,,,11829,753,12582,13198,,,,,2024-03-12
JL085,1,JL,日本航空,寰宇一家,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,200,0,767,波音767(大),L,2024-04-01 11:40:00,2024-04-01 14:00:00,False,False,0,False,True,2024-04-01,11:40:00,2024-04-01,14:00:00,,,,,,13233,717,13950,14616,,,,,2024-03-12
HO3136,1,HO,吉祥航空,星空联盟,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,185,0,788,波音787(大),L,2024-04-01 22:30:00,2024-04-02 00:35:00,False,False,0,False,True,2024-04-01,22:30:00,2024-04-02,00:35:00,NH,全日空航空,星空联盟,NH967,,3389,766,4155,4771,,,,,2024-03-12
NH969,1,NH,全日空航空,星空联盟,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T2,中国,CN,2,2,SHA,上海,SHA,虹桥国际机场,虹桥,T1,190,0,781,波音787(大),L,2024-04-01 10:05:00,2024-04-01 12:15:00,False,False,0,False,True,2024-04-01,10:05:00,2024-04-01,12:15:00,,,,,,12337,753,13090,13722,,,,,2024-03-12
CA924,1,CA,中国国航,星空联盟,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,195,0,321,空客321(中),M,2024-04-01 13:35:00,2024-04-01 15:50:00,False,False,0,False,True,2024-04-01,13:35:00,2024-04-01,15:50:00,,,,,,2980,758,3738,4387,,,,,2024-03-12
